"rti_race","is_net_compensation_rti","equity_policy","five_pct","year"
"American Indian/Alaska Native",-526,-369,-134,2019
"Asian/Pacific Islander",1557,2076,1949,2019
"Black",503,919,895,2019
"Hispanic",967,1446,1359,2019
"Non-Hispanic White",-114,,,2019
"Other",947,,,2019
"Unknown",91,,,2019
