"rti_race","is_net_compensation_rti","equity_policy","five_pct","year"
"American Indian/Alaska Native",-370,-146,29,2017
"Asian/Pacific Islander",1433,2032,1832,2017
"Black",734,1235,1133,2017
"Hispanic",1040,1667,1439,2017
"Non-Hispanic White",-125,,,2017
"Other",822,,,2017
"Unknown",16,,,2017
